,City, City Code, NUTS 2, Country,Year,Unemployment_Rate
383,Reykjavik,IS001C1,IS00,IS,2016,39.3
384,Riga,LV001C1,LV00,LV,2016,38.7
385,Rome,IT001C1,ITI4,IT,2016,36.5
386,Rotterdam,NL003C1,NL33,NL,2016,30.9
387,The Hague (Den Haag),NL001C1,NL33,NL,2016,30.9
388,Seville (Sevilla),ES004C1,ES61,ES,2016,37.3
389,Sofia,BG001C1,BG41,BG,2016,40.5
390,Stockholm,SE001C1,SE11,SE,2016,36.5
391,Stuttgart,DE007C1,DE11,DE,2016,34.9
392,Tallinn,EE001C1,EE00,EE,2016,38.4
393,Thessaloniki,EL002C1,EL52,EL,2016,42.5
394,Timisoara,RO003C1,RO42,RO,2016,39.9
395,Trieste,IT015C1,ITH4,IT,2016,37.1
396,Trondheim,NO003C1,NO06,NO,2016,33.4
397,Turin,IT004C1,ITC1,IT,2016,37.8
398,Varna,BG003C1,BG33,BG,2016,41.2
399,Vienna,AT001C1,AT13,AT,2016,36.0
400,Vilnius,LT001C1,LT01,LT,2016,38.7
401,Warsaw,PL001C1,PL91,PL,2016,40.4
402,Wroclaw,PL004C1,PL51,PL,2016,40.3
403,Zagreb,HR001C1,HR04,HR,2016,39.4
404,Zurich,CH001C1,CH04,CH,2016,34.7
405,Amsterdam,NL002C1,NL32,NL,2017,30.8
406,Ankara,TR001C1,TR51,TR,2017,44.9
407,Antwerp,BE002C1,BE2,BE,2017,38.1
408,Athens,EL001C1,EL30,EL,2017,40.5
409,Barcelona,ES002C1,ES51,ES,2017,37.4
410,Valencia,ES003C1,ES51,ES,2017,37.4
411,Belfast,UK012C1,UKN0,UK,2017,36.5
412,Belgrade, -,RS11,RS,2017,42.3
413,Bergen,NO002C1,NO05,NO,2017,33.5
414,Berlin,DE001C1,DE30,DE,2017,35.4
415,Birmingham,UK002C1,UKG3,UK,2017,36.2
416,Bologna,IT009C1,ITH5,IT,2017,37.8
417,Brasov,RO504C1,RO12,RO,2017,40.2
418,Bratislava,SK001C1,SK01,SK,2017,41.2
419,Bristol,UK011C1,UKK1,UK,2017,36.5
420,Brno,CZ002C1,CZ06,CZ,2017,40.2
421,Brussels,BE001C1,BE1,BE,2017,37.3
422,Bucharest,RO001C1,RO32,RO,2017,40.2
423,Budapest,HU001C1,HU11,HU,2017,39.8
424,Bursa,TR005C1,TR41,TR,2017,46.4
425,Cambridge,UK017C1,UKH1,UK,2017,36.8
426,Cluj-Napoca,RO002C1,RO11,RO,2017,39.9
427,Cologne,DE004C1,DEA2,DE,2017,35.0
428,Constanta,RO501C1,RO22,RO,2017,40.0
429,Copenhagen,DK001C1,DK01,DK,2017,33.0
430,Cork,IE002C1,IE05,IE,2017,36.1
431,Dublin,IE001C1,IE06,IE,2017,36.4
432,Dusseldorf,DE011C1,DEA1,DE,2017,35.2
433,Edinburgh,UK007C1,UKM7,UK,2017,36.1
434,Eindhoven,NL005C1,NL41,NL,2017,30.5
435,Frankfurt,DE005C1,DE71,DE,2017,35.2
436,Gdansk,PL006C1,PL63,PL,2017,41.1
437,Geneva,CH002C1,CH01,CH,2017,35.3
438,Gent,BE003C1,BE23,BE,2017,38.0
439,Glasgow,UK004C1,UKM3,UK,2017,36.4
440,Gothenburg,SE002C1,SE23,SE,2017,36.5
441,Hamburg,DE002C1,DE60,DE,2017,36.0
442,Iasi,RO502C1,RO21,RO,2017,39.7
443,Istanbul,TR012C1,TR10,TR,2017,47.8
444,Izmir,TR013C1,TR31,TR,2017,45.1
445,Kaunas,LT002C1,LT02,LT,2017,38.3
446,Krakow (Cracow),PL003C1,PL2,PL,2017,40.1
447,Leeds,UK003C1,UKE4,UK,2017,36.1
448,Limassol,CY501C1,CY00,CY,2017,39.3
449,Lisbon,PT001C1,PT17,PT,2017,40.0
450,Ljubljana,SI001C1,SI04,SI,2017,38.9
451,London,UK001K2,UKI,UK,2017,38.0
452,Luxembourg,LU001C1,LU00,LU,2017,37.4
453,Lyon,FR003C2,FRK2,FR,2017,37.3
454,Madrid,ES001C1,ES30,ES,2017,38.1
455,Manchester,UK008C1,UKD3,UK,2017,36.0
456,Milan,IT002C1,ITC4,IT,2017,37.6
457,Munich,DE003L1,DE21,DE,2017,36.2
458,Nicosia,CY001C1,CY0,CY,2017,39.3
459,Oslo,NO001C1,NO01,NO,2017,34.5
460,Paris,FR001C1,FR10,FR,2017,38.1
461,Porto,PT002C1,PT11,PT,2017,39.8
462,Poznan,PL005C1,PL41,PL,2017,41.0
463,Prague,CZ001C1,CZ01,CZ,2017,40.4
464,Reykjavik,IS001C1,IS00,IS,2017,39.1
465,Riga,LV001C1,LV00,LV,2017,38.8
466,Rome,IT001C1,ITI4,IT,2017,36.6
467,Rotterdam,NL003C1,NL33,NL,2017,30.7
468,The Hague (Den Haag),NL001C1,NL33,NL,2017,30.7
469,Seville (Sevilla),ES004C1,ES61,ES,2017,37.3
470,Sofia,BG001C1,BG41,BG,2017,40.4
471,Stockholm,SE001C1,SE11,SE,2017,36.6
472,Stuttgart,DE007C1,DE11,DE,2017,34.8
473,Tallinn,EE001C1,EE00,EE,2017,38.5
474,Thessaloniki,EL002C1,EL52,EL,2017,42.3
475,Timisoara,RO003C1,RO42,RO,2017,39.9
476,Trieste,IT015C1,ITH4,IT,2017,37.1
477,Trondheim,NO003C1,NO06,NO,2017,33.4
478,Turin,IT004C1,ITC1,IT,2017,37.8
479,Varna,BG003C1,BG33,BG,2017,41.0
480,Vienna,AT001C1,AT13,AT,2017,36.2
481,Vilnius,LT001C1,LT01,LT,2017,38.9
482,Warsaw,PL001C1,PL91,PL,2017,40.2
483,Wroclaw,PL004C1,PL51,PL,2017,40.3
484,Zagreb,HR001C1,HR04,HR,2017,39.8
485,Zurich,CH001C1,CH04,CH,2017,34.7
486,Amsterdam,NL002C1,NL32,NL,2018,30.9
487,Ankara,TR001C1,TR51,TR,2018,44.7
488,Antwerp,BE002C1,BE2,BE,2018,37.6
489,Athens,EL001C1,EL30,EL,2018,40.6
490,Barcelona,ES002C1,ES51,ES,2018,37.7
491,Valencia,ES003C1,ES51,ES,2018,37.7
492,Belfast,UK012C1,UKN0,UK,2018,36.5
493,Belgrade, -,RS11,RS,2018,42.3
494,Bergen,NO002C1,NO05,NO,2018,33.4
