,City, City Code, NUTS 2, Country,Year,Education Attainment ED 0-2,Education Attainment ED 3-4,Education Attainment ED 5-8
249,Belfast,UK012C1,UKN0,UK,2015,27.3,39.1,33.6
250,Belgrade, -,RS11,RS,2015,9.6,56.1,34.3
251,Bergen,NO002C1,NO05,NO,2015,16.0,40.8,43.2
252,Berlin,DE001C1,DE30,DE,2015,15.1,48.3,36.6
253,Birmingham,UK002C1,UKG3,UK,2015,29.5,37.6,32.9
254,Bologna,IT009C1,ITH5,IT,2015,34.6,45.1,20.3
255,Brasov,RO504C1,RO12,RO,2015,25.4,56.9,17.8
256,Bratislava,SK001C1,SK01,SK,2015,4.9,57.6,37.5
257,Bristol,UK011C1,UKK1,UK,2015,16.6,37.8,45.6
258,Brno,CZ002C1,CZ06,CZ,2015,5.4,70.3,24.3
259,Brussels,BE001C1,BE1,BE,2015,30.2,26.4,43.4
260,Bucharest,RO001C1,RO32,RO,2015,14.5,51.9,33.6
261,Budapest,HU001C1,HU11,HU,2015,7.9,47.4,44.7
262,Bursa,TR005C1,TR41,TR,2015,62.3,20.8,17.0
263,Cambridge,UK017C1,UKH1,UK,2015,21.7,42.8,35.6
264,Cluj-Napoca,RO002C1,RO11,RO,2015,24.4,58.1,17.4
265,Cologne,DE004C1,DEA2,DE,2015,17.7,53.8,28.5
266,Constanta,RO501C1,RO22,RO,2015,30.4,56.8,12.9
267,Copenhagen,DK001C1,DK01,DK,2015,16.7,35.5,47.8
268,Cork,IE002C1,IE05,IE,2015,20.5,39.3,40.3
269,Dublin,IE001C1,IE06,IE,2015,16.9,33.8,49.2
270,Dusseldorf,DE011C1,DEA1,DE,2015,18.6,56.6,24.8
271,Edinburgh,UK007C1,UKM7,UK,2015,16.7,32.4,50.9
272,Eindhoven,NL005C1,NL41,NL,2015,25.2,41.6,33.2
273,Frankfurt,DE005C1,DE71,DE,2015,15.3,52.3,32.3
274,Gdansk,PL006C1,PL63,PL,2015,10.1,61.8,28.1
275,Geneva,CH002C1,CH01,CH,2015,16.5,44.3,39.2
276,Gent,BE003C1,BE23,BE,2015,24.4,38.1,37.5
277,Glasgow,UK004C1,UKM3,UK,2015,19.2,33.7,47.2
278,Gothenburg,SE002C1,SE23,SE,2015,16.4,44.4,39.2
279,Hamburg,DE002C1,DE60,DE,2015,14.7,50.4,34.9
280,Iasi,RO502C1,RO21,RO,2015,31.8,56.7,11.6
281,Istanbul,TR012C1,TR10,TR,2015,60.4,18.7,20.8
282,Izmir,TR013C1,TR31,TR,2015,59.6,19.9,20.5
283,Kaunas,LT002C1,LT02,LT,2015,7.6,58.3,34.1
284,Krakow (Cracow),PL003C1,PL2,PL,2015,6.7,66.5,26.8
285,Leeds,UK003C1,UKE4,UK,2015,24.4,40.5,35.1
286,Limassol,CY501C1,CY00,CY,2015,22.1,37.5,40.5
287,Lisbon,PT001C1,PT17,PT,2015,41.2,26.3,32.5
288,Ljubljana,SI001C1,SI04,SI,2015,11.1,53.9,35.0
289,London,UK001K2,UKI,UK,2015,15.8,29.1,55.1
290,Luxembourg,LU001C1,LU00,LU,2015,24.0,34.9,41.1
291,Lyon,FR003C2,FRK2,FR,2015,18.7,43.8,37.5
292,Madrid,ES001C1,ES30,ES,2015,28.5,24.6,46.9
293,Manchester,UK008C1,UKD3,UK,2015,21.9,39.2,38.9
294,Milan,IT002C1,ITC4,IT,2015,36.9,43.8,19.3
295,Munich,DE003L1,DE21,DE,2015,9.4,53.5,37.1
296,Nicosia,CY001C1,CY0,CY,2015,22.1,37.5,40.5
297,Oslo,NO001C1,NO01,NO,2015,14.6,32.0,53.5
298,Paris,FR001C1,FR10,FR,2015,20.7,33.0,46.3
299,Porto,PT002C1,PT11,PT,2015,61.5,19.8,18.7
300,Poznan,PL005C1,PL41,PL,2015,8.4,65.9,25.7
301,Prague,CZ001C1,CZ01,CZ,2015,3.3,56.2,40.5
302,Reykjavik,IS001C1,IS00,IS,2015,25.0,36.0,39.0
303,Riga,LV001C1,LV00,LV,2015,9.9,58.5,31.6
304,Rome,IT001C1,ITI4,IT,2015,30.4,46.3,23.3
305,Rotterdam,NL003C1,NL33,NL,2015,24.9,38.9,36.1
306,The Hague (Den Haag),NL001C1,NL33,NL,2015,24.9,38.9,36.1
307,Seville (Sevilla),ES004C1,ES61,ES,2015,51.4,20.2,28.3
308,Sofia,BG001C1,BG41,BG,2015,9.1,52.3,38.6
309,Stockholm,SE001C1,SE11,SE,2015,13.5,37.8,48.7
310,Stuttgart,DE007C1,DE11,DE,2015,13.8,53.8,32.4
311,Tallinn,EE001C1,EE00,EE,2015,11.3,50.5,38.1
312,Thessaloniki,EL002C1,EL52,EL,2015,31.8,39.1,29.1
313,Timisoara,RO003C1,RO42,RO,2015,20.0,63.9,16.1
314,Trieste,IT015C1,ITH4,IT,2015,34.5,47.8,17.6
315,Trondheim,NO003C1,NO06,NO,2015,13.4,42.6,44.0
316,Turin,IT004C1,ITC1,IT,2015,38.6,44.8,16.6
317,Varna,BG003C1,BG33,BG,2015,22.2,52.4,25.4
318,Vienna,AT001C1,AT13,AT,2015,17.1,43.6,39.3
319,Vilnius,LT001C1,LT01,LT,2015,3.6,45.9,50.5
320,Warsaw,PL001C1,PL91,PL,2015,4.0,43.9,52.1
321,Wroclaw,PL004C1,PL51,PL,2015,8.7,64.1,27.2
