,City, City Code, NUTS 2, Country,Year,Unemployment_Rate
379,Paris,FR001C1,FR10,FR,2016,9.2
380,Porto,PT002C1,PT11,PT,2016,12.2
381,Poznan,PL005C1,PL41,PL,2016,4.8
382,Prague,CZ001C1,CZ01,CZ,2016,2.2
383,Reykjavik,IS001C1,IS00,IS,2016,3.0
384,Riga,LV001C1,LV00,LV,2016,9.6
385,Rome,IT001C1,ITI4,IT,2016,11.2
386,Rotterdam,NL003C1,NL33,NL,2016,7.1
387,The Hague (Den Haag),NL001C1,NL33,NL,2016,7.1
388,Seville (Sevilla),ES004C1,ES61,ES,2016,28.9
389,Sofia,BG001C1,BG41,BG,2016,5.4
390,Stockholm,SE001C1,SE11,SE,2016,6.5
391,Stuttgart,DE007C1,DE11,DE,2016,3.3
392,Tallinn,EE001C1,EE00,EE,2016,6.8
393,Thessaloniki,EL002C1,EL52,EL,2016,24.5
394,Timisoara,RO003C1,RO42,RO,2016,4.9
395,Trieste,IT015C1,ITH4,IT,2016,7.6
396,Trondheim,NO003C1,NO06,NO,2016,4.0
397,Turin,IT004C1,ITC1,IT,2016,9.4
398,Varna,BG003C1,BG33,BG,2016,9.8
399,Vienna,AT001C1,AT13,AT,2016,11.3
400,Vilnius,LT001C1,LT01,LT,2016,5.6
401,Warsaw,PL001C1,PL91,PL,2016,3.7
402,Wroclaw,PL004C1,PL51,PL,2016,5.5
403,Zagreb,HR001C1,HR04,HR,2016,12.6
404,Zurich,CH001C1,CH04,CH,2016,3.9
405,Amsterdam,NL002C1,NL32,NL,2017,4.5
406,Ankara,TR001C1,TR51,TR,2017,11.3
407,Antwerp,BE002C1,BE2,BE,2017,4.4
408,Athens,EL001C1,EL30,EL,2017,21.6
409,Barcelona,ES002C1,ES51,ES,2017,13.4
410,Valencia,ES003C1,ES51,ES,2017,13.4
411,Belfast,UK012C1,UKN0,UK,2017,4.6
412,Belgrade, -,RS11,RS,2017,13.4
413,Bergen,NO002C1,NO05,NO,2017,4.0
414,Berlin,DE001C1,DE30,DE,2017,7.0
415,Birmingham,UK002C1,UKG3,UK,2017,7.2
416,Bologna,IT009C1,ITH5,IT,2017,6.6
417,Brasov,RO504C1,RO12,RO,2017,4.2
418,Bratislava,SK001C1,SK01,SK,2017,4.2
419,Bristol,UK011C1,UKK1,UK,2017,4.0
420,Brno,CZ002C1,CZ06,CZ,2017,3.1
421,Brussels,BE001C1,BE1,BE,2017,14.9
422,Bucharest,RO001C1,RO32,RO,2017,4.3
423,Budapest,HU001C1,HU11,HU,2017,2.9
424,Bursa,TR005C1,TR41,TR,2017,9.7
425,Cambridge,UK017C1,UKH1,UK,2017,3.9
426,Cluj-Napoca,RO002C1,RO11,RO,2017,3.6
427,Cologne,DE004C1,DEA2,DE,2017,3.7
428,Constanta,RO501C1,RO22,RO,2017,6.5
429,Copenhagen,DK001C1,DK01,DK,2017,6.2
430,Cork,IE002C1,IE05,IE,2017,7.0
431,Dublin,IE001C1,IE06,IE,2017,6.7
432,Dusseldorf,DE011C1,DEA1,DE,2017,4.3
433,Edinburgh,UK007C1,UKM7,UK,2017,3.7
434,Eindhoven,NL005C1,NL41,NL,2017,4.2
435,Frankfurt,DE005C1,DE71,DE,2017,3.5
436,Gdansk,PL006C1,PL63,PL,2017,4.2
437,Geneva,CH002C1,CH01,CH,2017,7.9
438,Gent,BE003C1,BE23,BE,2017,3.4
439,Glasgow,UK004C1,UKM3,UK,2017,4.1
440,Gothenburg,SE002C1,SE23,SE,2017,6.0
441,Hamburg,DE002C1,DE60,DE,2017,4.2
442,Iasi,RO502C1,RO21,RO,2017,2.9
443,Istanbul,TR012C1,TR10,TR,2017,13.8
444,Izmir,TR013C1,TR31,TR,2017,14.0
445,Kaunas,LT002C1,LT02,LT,2017,8.1
446,Krakow (Cracow),PL003C1,PL2,PL,2017,4.0
447,Leeds,UK003C1,UKE4,UK,2017,4.8
448,Limassol,CY501C1,CY00,CY,2017,11.1
449,Lisbon,PT001C1,PT17,PT,2017,9.5
450,Ljubljana,SI001C1,SI04,SI,2017,6.4
451,London,UK001K2,UKI,UK,2017,5.3
452,Luxembourg,LU001C1,LU00,LU,2017,5.5
453,Lyon,FR003C2,FRK2,FR,2017,7.3
454,Madrid,ES001C1,ES30,ES,2017,13.4
455,Manchester,UK008C1,UKD3,UK,2017,4.0
456,Milan,IT002C1,ITC4,IT,2017,6.4
457,Munich,DE003L1,DE21,DE,2017,2.2
458,Nicosia,CY001C1,CY0,CY,2017,11.1
459,Oslo,NO001C1,NO01,NO,2017,4.6
460,Paris,FR001C1,FR10,FR,2017,8.7
461,Porto,PT002C1,PT11,PT,2017,9.8
462,Poznan,PL005C1,PL41,PL,2017,3.1
463,Prague,CZ001C1,CZ01,CZ,2017,1.7
464,Reykjavik,IS001C1,IS00,IS,2017,2.7
465,Riga,LV001C1,LV00,LV,2017,8.7
466,Rome,IT001C1,ITI4,IT,2017,10.7
467,Rotterdam,NL003C1,NL33,NL,2017,5.6
468,The Hague (Den Haag),NL001C1,NL33,NL,2017,5.6
469,Seville (Sevilla),ES004C1,ES61,ES,2017,25.5
470,Sofia,BG001C1,BG41,BG,2017,3.3
471,Stockholm,SE001C1,SE11,SE,2017,6.3
472,Stuttgart,DE007C1,DE11,DE,2017,3.0
473,Tallinn,EE001C1,EE00,EE,2017,5.8
474,Thessaloniki,EL002C1,EL52,EL,2017,22.9
475,Timisoara,RO003C1,RO42,RO,2017,4.4
476,Trieste,IT015C1,ITH4,IT,2017,6.7
477,Trondheim,NO003C1,NO06,NO,2017,2.9
478,Turin,IT004C1,ITC1,IT,2017,9.1
479,Varna,BG003C1,BG33,BG,2017,9.4
480,Vienna,AT001C1,AT13,AT,2017,10.4
481,Vilnius,LT001C1,LT01,LT,2017,4.8
482,Warsaw,PL001C1,PL91,PL,2017,3.5
483,Wroclaw,PL004C1,PL51,PL,2017,4.7
484,Zagreb,HR001C1,HR04,HR,2017,11.4
485,Zurich,CH001C1,CH04,CH,2017,4.5
486,Amsterdam,NL002C1,NL32,NL,2018,3.8
487,Ankara,TR001C1,TR51,TR,2018,10.1
488,Antwerp,BE002C1,BE2,BE,2018,3.4
489,Athens,EL001C1,EL30,EL,2018,19.9
490,Barcelona,ES002C1,ES51,ES,2018,11.5
491,Valencia,ES003C1,ES51,ES,2018,11.5
492,Belfast,UK012C1,UKN0,UK,2018,3.6
493,Belgrade, -,RS11,RS,2018,10.9
494,Bergen,NO002C1,NO05,NO,2018,3.8
